ID,요구사항,구현 파일,검증 테스트,현재 상태
R-11,"Android에 한정하지 않고 React Next.js React Native Python Node TypeScript Spring iOS 등을 profile로 감지·설치·선택한다.","profiles/*.yaml; src/agent_flow/profiles/*.yaml; lib/skill-selection.mjs; src/agent_flow/core/profiles.py; skills/profile-routing.json","tests/test_profiles.py; tests/test_skill_plan.py; tests/test_skill_selection.mjs; tests/test_custom_skill_install.py",pass
R-12,"skill source는 active host→shared/common→bundled 순으로 결정적으로 선택하고 authority 충돌을 fail-closed 처리한다.","lib/skill-selection.mjs; src/agent_flow/core/skill_plan.py; src/agent_flow/core/local_skills.py; skills/source-policy.yaml","tests/test_skill_selection.mjs; tests/test_custom_skill_install.py",pass
R-13,"project-local private local Claude/Codex/OMP host skill과 transitive dependency를 indexed snapshot으로 설치하고 필요한 항목을 세 host에서 호출 가능하게 노출한다.","bin/agent-flow-kit.mjs; lib/skill-selection.mjs; src/agent_flow/core/local_skills.py; src/agent_flow/core/skill_plan.py","tests/test_node_profile_installer_contract.mjs; tests/test_custom_skill_install.py; tests/test_skill_plan.py",pass
R-14,"external skill의 추가·변경·삭제·rename·host 이동·dependency 변경을 재설치에서 감지하고 drift/removal을 무시하지 않는다.","lib/skill-selection.mjs; bin/agent-flow-kit.mjs; src/agent_flow/core/local_skills.py","tests/test_skill_selection.mjs; tests/test_node_profile_installer_contract.mjs; tests/test_custom_skill_install.py",pass
R-15,"metadata-less 신규 host-global skill은 on-demand로 자동 채택·세 host 노출하되 모든 prompt 본문에 강제 주입하지 않는다.","lib/skill-selection.mjs; bin/agent-flow-kit.mjs; src/agent_flow/core/local_skills.py","tests/test_skill_selection.mjs; tests/test_node_profile_installer_contract.mjs; tests/test_skill_plan.py",pass
R-16,"local skill의 code/review/design/Figma/hook 목적을 metadata·phase·task·path로 구분하고 code 작성·리뷰에는 applicable skill만 읽는다.","bin/agent-flow-kit.mjs; src/agent_flow/core/local_skills.py; src/agent_flow/core/skill_plan.py; skills/source-policy.yaml","tests/test_node_profile_installer_contract.mjs; tests/test_skill_plan.py; tests/test_profiles.py",pass
R-17,"Android 공식 skill과 Chris Banes/ecosystem skill을 catalog/profile로 설치하고 touched scope에 맞게 선택하며 catalog 밖 외부 skill도 같은 일반 규칙을 따른다.","profiles/android.yaml; src/agent_flow/profiles/android.yaml; skills/upstream-lock.json; skills/profile-routing.json","tests/test_upstream_skills.py; tests/test_custom_skill_install.py; tests/test_skill_plan.py; tests/test_skill_selection.mjs",pass
R-18,"skill index는 body 대신 path/hash/metadata를 저장하고 applicable skill만 로드하며 write-a-skill 기준으로 중복 개념을 공통 contract/alias로 압축하고 SKILL.md 200줄 초과를 차단한다.","skills/skill-consolidation.yaml; skills/source-policy.yaml; scripts/validate-skills.mjs; bin/agent-flow-kit.mjs","tests/test_validate_skills.mjs; tests/test_skill_selection.mjs; tests/test_custom_skill_install.py",pass
R-19,"mattpocock/skills의 검토된 최신 lock/copy/adaptation을 유지하고 링크·경로를 내부 환경에 맞춘다.","skills/upstream-lock.json; skills/skill-consolidation.yaml; skills/grilling/SKILL.md; skills/setup-matt-pocock-skills/SKILL.md; skills/to-spec; skills/to-tickets","tests/test_upstream_skills.py; tests/test_validate_skills.mjs",pass
R-20,"npm/Python 배포물은 필수 runtime profiles templates skills workflow와 bundled YAML parser를 포함하고 재설치에서 동일 계약을 유지한다.","package.json; .npmignore; pyproject.toml; bin/agent-flow-install.mjs; bin/agent-flow-kit.mjs; lib/yaml-runtime-bundled.cjs; vendor; src/agent_flow","tests/test_packaged_runtime.mjs; tests/test_node_profile_installer_contract.mjs; tests/test_python_wheel_assets.py; tests/test_project_runtime_contract.mjs; scripts/check-agent-flow-parity.mjs",pass
R-21,"ledger는 gate-results.json review findings fix_loop_rounds만을 입력으로 삼아 status knowledge procedural을 deterministic하게 생성한다.","lib/execution-state-ledger.mjs; src/agent_flow/core/execution_state_ledger.py","tests/test_node_execution_state_ledger.mjs; tests/test_execution_state_ledger.py",pass
R-22,"ledger 모든 항목은 artifact hash selector timestamp run round extractor provenance를 가지고 current run에만 귀속되며 Lore/영구 memory로 자동 승격하지 않는다.","lib/execution-state-ledger.mjs; src/agent_flow/core/execution_state_ledger.py","tests/test_node_execution_state_ledger.mjs; tests/test_execution_state_ledger.py",pass
R-23,"ledger는 참고 정보로만 작동하고 runner의 canonical route current_phase next_command gate verdict를 변경하지 않는다.","bin/agent-flow-kit.mjs; src/agent_flow/runner.py; lib/execution-state-ledger.mjs; src/agent_flow/core/execution_state_ledger.py","tests/test_node_execution_state_ledger.mjs; tests/test_execution_state_ledger.py",pass
R-24,"artifacts-only ledger-always ledger-selective action-self-review 네 조건을 독립 선택하고 각 주입 시점·5줄 상한·stale/unsupported 제외·multi-review 미주입·동일 예산을 지킨다.","lib/execution-state-ledger.mjs; src/agent_flow/core/execution_state_ledger.py; bin/agent-flow-kit.mjs; src/agent_flow/runner.py","tests/test_node_execution_state_ledger.mjs; tests/test_execution_state_ledger.py",pass
R-25,"run별 필수 metrics와 동일 task/model/tool/workflow/retry 통제를 기계 판독 가능하게 저장하고 selective의 재현 우위가 없거나 safety 위반이 있으면 기각한다.","lib/execution-state-ledger.mjs; src/agent_flow/core/execution_state_ledger.py; scripts/execution-ledger-pilot-metrics.mjs","tests/test_execution_ledger_pilot_metrics.mjs; tests/test_node_execution_state_ledger.mjs; tests/test_execution_state_ledger.py",pass
R-26,"ledger sidecar·route artifact·canonical manifest/current pointer는 crash recovery와 commit point를 공유하여 phase만 선행하는 부분 commit을 허용하지 않는다.","bin/agent-flow-kit.mjs; src/agent_flow/runner.py; lib/execution-state-ledger.mjs; src/agent_flow/core/execution_state_ledger.py","tests/test_node_execution_state_ledger.mjs; tests/test_runner_smoke.py; tests/test_execution_state_ledger.py",pass
R-27,"Hermes self-learning Memory LLM SFT GRPO embedding vector DB cross-run Lore를 추가하지 않는다.","lib/execution-state-ledger.mjs; src/agent_flow/core/execution_state_ledger.py","forbidden dependency/import static inspection; package manifests",pass
R-28,"stable diff에서 수정한 Node Python hook/security skill-selection/install ledger test만 실행하고 parity syntax compile diff-check package asset check를 완료한다.","tests/*; scripts/check-agent-flow-parity.mjs; scripts/validate-skills.mjs; package.json","targeted verification command record",pass
R-29,"review/fix loop는 최대 3회로 제한하고 동일 frozen diff·base·추적표를 Codex gpt-5.6-sol ultra와 Claude fable max에게 독립 병렬 제공하며 reviewer에게 ledger를 주입하지 않는다. 3회 내 동시 승인이 없으면 수정을 중단하고 분리·기각·rollback을 보고한다.","docs/stabilization-requirements.csv; external review prompts","review round artifacts",pass
R-30,"review finding은 requirement ID·정확한 file:line·결정적 재현·expected/actual을 모두 갖춘 accepted인 경우에만 수정하고 테스트·안전장치를 약화하지 않는다.","docs/stabilization-requirements.csv; external review prompts","finding triage record",pass
R-31,"leader checkout은 clean하고 장기 test/review process가 남지 않으며 새 worktree branch run/advance를 만들지 않는다.","process invariant","git worktree/status/process inspection",pass
R-32,"missing이 없고 accepted finding·targeted verification·동일 round 양쪽 APPROVED가 모두 완료된 뒤에만 의도한 파일을 commit·push하고 main 대상 ready PR을 생성하며 merge하지 않는다.","git branch feat/profile-skill-resolver","git status; git log; remote branch; PR metadata",fail
R-33,"final report는 변경 파일 ledger schema/deterministic rule 조건별 주입 시점 metrics 저장·계산 방법 targeted test pilot 명령 채택/기각 비교표 PR URL·양쪽 승인만 포함한다.","final response","final response checklist",fail
